"Qty","Value","DNP","Exclude from BOM","Exclude from Board","MANUFACTURER PART NUMBER"
"69","1uF","","","","GRM155R61E105KA12D"
"8","100pF","","","","GCM1555C1H101FA16D"
"56","10uF","","","","GRM188R61E106MA73D"
"12","22uF","","","","GRM21BR61E226ME44L"
"10","100nF","","","","GCM155R71C104KA55D"
"1","12pF","","","","CBR04C120F5GAC"
"4","47uF","","","","CL21A476MQYNNNE"
"1","68pF","","","","GCM1555C1H680FA16J"
"1","1nF","","","","GCM1885C2A102FA16D"
"1","10nF","","","","GRM1885C1H103JA01J"
"3","120@100MHZ","","","","BLM15PX121SN1D"
"1","XC7A12T-1CPG238C","","","",""
"1","FT602Q-B-T","","","",""
"1","ADC09DJ800AAV","","","",""
"2","UFL","DNP","","","2334884-1"
"1","2.54mm 6 Pin TH","","","","61300611021"
"1","BNC","","","","73100-0105"
"5","1uH","","","","SRP3212-1R0M"
"2","DMN62D0UW","","","","DMN62D0UW-7"
"16","10K","","","","ACASN1002S1002P1ATF1002X,ERJ-2RKF1002X"
"1","DNP","","","",""
"1","DNP (place for LED)","","","",""
"14","4.7K","","","","ERJ-2RKF4701X"
"9","0.01","","","","RL0816T-R010-F"
"3","0","","","","RC0402JR-070RL"
"5","90.9k","","","","RC0402FR-0790K9L"
"4","20k","","","","RC0402FR-0720KL"
"1","3.75k","","","",""
"2","0.1","","","","ERJ-2BSFR10X"
"2","280K","","","","AC0402FR-07280KL"
"9","0R1","","","",""
"1","3.4k","","","",""
"2","100","","","","RC0402FR-07100RL"
"2","35.7k","","","","RC0402FR-0735K7L"
"1","12.8k","","","",""
"3","1K","","","","RC0402FR-071KL"
"2","2K","","","","RC0402FR-072KL"
"2","10M","","","","RK73H1JTTD1005F"
"2","30","","","","SG73P1JTTD30R0F"
"1","909k","","","","RC0402FR-07909KL"
"1","DNP","DNP","","",""
"1","2K TRIMPOT","","","","TC33X-2-202E"
"1","416131160803","","","",""
"1","MCP4452-104E","","","","MCP4452-104E"
"1","MCP4728","","","","MCP4728T-E/UN"
"1","REF2025","","","","REF2025AIDDCR"
"2","OPA140AIDBVR","","","","OPA140AIDBVR"
"4","TPS62A02","","","","TPS62A02DRLR"
"1","LM27761","","","","LM27761DSGR"
"4","TPS7A9101","","","","TPS7A9101DSKR"
"1","TPS7A2033","","","","TPS7A2033PDBVR"
"1","TPS61023","","","","TPS61023DRLT"
"1","MX25L6433FZNI-08G","","","","MX25L6433FZNI-08G-TR"
"1","TMUX4053","","","","TMUX4053DYYR"
"1","LMH6518","","","","LMH6518SQX/NOPB"
"1","BUF802","","","","BUF802IRGTR"
"1","ASEMPLV-100.000MHZ-LR-T","","","",""
